iter	Passed	Remaining
652	2589	1376
653	2592	1371
654	2595	1366
655	2597	1362
656	2600	1357
657	2603	1353
658	2605	1348
659	2608	1343
660	2611	1339
661	2613	1334
662	2616	1329
663	2619	1325
664	2621	1320
665	2624	1316
666	2627	1311
667	2630	1307
668	2633	1302
669	2635	1298
670	2638	1293
671	2641	1289
672	2643	1284
673	2646	1279
674	2648	1275
675	2651	1270
676	2654	1266
677	2657	1261
678	2659	1257
679	2662	1252
680	2665	1248
681	2668	1244
682	2671	1239
683	2673	1235
684	2676	1230
685	2681	1227
686	2684	1223
687	2687	1218
688	2690	1214
689	2693	1209
690	2696	1205
691	2698	1201
692	2701	1196
693	2704	1192
694	2706	1187
695	2711	1184
696	2714	1180
697	2718	1176
698	2721	1172
699	2725	1168
700	2729	1164
701	2734	1160
702	2741	1158
703	2744	1154
704	2750	1150
705	2755	1147
706	2760	1143
707	2763	1139
708	2766	1135
709	2769	1131
710	2771	1126
711	2774	1122
712	2777	1117
713	2779	1113
714	2782	1109
715	2785	1104
716	2788	1100
717	2791	1096
718	2793	1091
719	2796	1087
720	2799	1083
721	2802	1078
722	2805	1074
723	2807	1070
724	2810	1065
725	2813	1061
726	2815	1057
727	2819	1053
728	2823	1049
729	2828	1046
730	2831	1042
731	2835	1038
732	2838	1034
733	2842	1029
734	2846	1026
735	2849	1022
736	2853	1018
737	2856	1014
738	2862	1010
739	2865	1006
740	2869	1003
741	2873	999
742	2878	995
743	2881	991
744	2884	987
745	2888	983
746	2893	980
747	2896	975
748	2902	972
749	2906	968
750	2911	965
751	3049	1005
752	3072	1007
753	3080	1004
754	3088	1002
755	3097	999
756	3104	996
757	3112	993
758	3122	991
759	3127	987
760	3131	983
761	3136	979
762	3140	975
763	3145	971
764	3149	967
765	3157	964
766	3164	961
767	3170	957
768	3177	954
769	3183	950
770	3189	947
771	3197	944
772	3204	940
773	3210	937
774	3217	934
775	3219	929
776	3223	925
777	3226	920
778	3229	916
779	3234	912
780	3239	908
781	3241	903
782	3244	899
783	3248	894
784	3251	890
785	3255	886
786	3258	882
787	3262	877
788	3267	873
789	3271	869
790	3274	865
791	3278	860
792	3280	856
793	3283	851
794	3288	847
795	3292	843
796	3296	839
797	3299	835
798	3304	831
799	3309	827
800	3313	823
801	3319	819
802	3325	815
803	3329	811
804	3333	807
805	3338	803
806	3342	799
807	3345	794
808	3348	790
809	3351	786
810	3354	781
811	3358	777
812	3361	773
813	3365	768
814	3368	764
815	3370	760
816	3374	755
817	3377	751
818	3381	747
819	3383	742
820	3386	738
821	3389	734
822	3392	729
823	3396	725
824	3399	721
825	3403	716
826	3405	712
827	3408	708
828	3412	703
829	3414	699
830	3418	695
831	3420	690
832	3423	686
833	3426	681
834	3430	677
835	3433	673
836	3436	669
837	3438	664
838	3441	660
839	3444	656
840	3446	651
841	3449	647
842	3451	642
843	3454	638
844	3458	634
845	3460	629
846	3463	625
847	3466	621
848	3469	617
849	3471	612
850	3475	608
851	3477	604
852	3481	599
853	3484	595
854	3488	591
855	3492	587
856	3495	583
857	3498	579
858	3502	574
859	3506	570
860	3509	566
861	3514	562
862	3517	558
863	3520	554
864	3523	549
865	3526	545
866	3529	541
867	3531	537
868	3534	532
869	3537	528
870	3540	524
871	3543	520
872	3545	515
873	3548	511
874	3551	507
875	3554	503
876	3556	498
877	3561	494
878	3564	490
879	3569	486
880	3572	482
881	3576	478
882	3579	474
883	3581	470
884	3585	465
885	3588	461
886	3592	457
887	3595	453
888	3598	449
889	3601	445
890	3604	440
891	3608	436
892	3611	432
893	3614	428
894	3617	424
895	3620	420
896	3624	416
897	3626	411
898	3630	407
899	3633	403
900	3635	399
901	3639	395
902	3642	391
903	3645	387
904	3648	382
905	3651	378
906	3655	374
907	3658	370
908	3661	366
909	3664	362
910	3666	358
911	3673	354
912	3678	350
913	3681	346
914	3685	342
915	3689	338
916	3692	334
917	3695	330
918	3703	326
919	3706	322
920	3710	318
921	3713	314
922	3721	310
923	3724	306
924	3727	302
925	3731	298
926	3734	294
927	3737	289
928	3740	285
929	3743	281
930	3746	277
931	3750	273
932	3752	269
933	3756	265
934	3759	261
935	3762	257
936	3765	253
937	3767	249
938	3772	245
939	3775	240
940	3778	236
941	3780	232
942	3786	228
943	3789	224
944	3791	220
945	3794	216
946	3798	212
947	3801	208
948	3805	204
949	3807	200
950	3812	196
951	3815	192
952	3820	188
953	3823	184
954	3827	180
955	3830	176
956	3834	172
957	3837	168
958	3841	164
959	3844	160
960	3848	156
961	3851	152
962	3854	148
963	3857	144
964	3861	140
965	3867	136
966	3872	132
967	3876	128
968	3880	124
969	3884	120
970	3890	116
971	3897	112
972	3901	108
973	3906	104
974	3910	100
975	3913	96
976	3917	92
977	3921	88
978	3925	84
979	3929	80
980	3933	76
981	3938	72
982	3940	68
983	3944	64
984	3947	60
985	3952	56
986	3955	52
987	3957	48
988	3961	44
989	3963	40
990	3967	36
991	3972	32
992	3976	28
993	3979	24
994	3984	20
995	3990	16
996	3995	12
997	4000	8
998	4006	4
999	4011	0
